Date,Demand
2010-12-01,27007
2010-12-02,31348
2010-12-03,16471
2010-12-05,16451
2010-12-06,21951
2010-12-07,25365
2010-12-08,23125
2010-12-09,20730
2010-12-10,21155
2010-12-12,10603
2010-12-13,17727
2010-12-14,20767
2010-12-15,18493
2010-12-16,29947
2010-12-17,16959
2010-12-19,3799
2010-12-20,15793
2010-12-21,15658
2010-12-22,3213
2010-12-23,5754
2011-01-04,8678
2011-01-05,19806
2011-01-06,23178
2011-01-07,17160
2011-01-09,8202
2011-01-10,13091
2011-01-11,29458
2011-01-12,10623
2011-01-13,10175
2011-01-14,23149
2011-01-16,4204
2011-01-17,13397
2011-01-18,82978
2011-01-19,17387
2011-01-20,10497
2011-01-21,15305
2011-01-23,5241
2011-01-24,12029
2011-01-25,15614
2011-01-26,10976
2011-01-27,11577
2011-01-28,18145
2011-01-30,3431
2011-01-31,13415
2011-02-01,15851
2011-02-02,9732
2011-02-03,16999
2011-02-04,14077
2011-02-06,2048
2011-02-07,9143
2011-02-08,10254
2011-02-09,7165
2011-02-10,11909
2011-02-11,10549
2011-02-13,2756
2011-02-14,13595
2011-02-15,22720
2011-02-16,16156
2011-02-17,14548
2011-02-18,9246
2011-02-20,5353
2011-02-21,21589
2011-02-22,21902
2011-02-23,13767
2011-02-24,11896
2011-02-25,10573
2011-02-27,4870
2011-02-28,9997
2011-03-01,12145
2011-03-02,8617
2011-03-03,20163
2011-03-04,13779
2011-03-06,5049
2011-03-07,14064
2011-03-08,14571
2011-03-09,15182
2011-03-10,16515
2011-03-11,10870
2011-03-13,2749
2011-03-14,16765
2011-03-15,9080
2011-03-16,12947
2011-03-17,21002
2011-03-18,14052
2011-03-20,14195
2011-03-21,10311
2011-03-22,16664
2011-03-23,14462
2011-03-24,18569
2011-03-25,14179
2011-03-27,4530
2011-03-28,13526
2011-03-29,32916
2011-03-30,21132
2011-03-31,16916
2011-04-01,18564
2011-04-03,5679
2011-04-04,14015
2011-04-05,16056
2011-04-06,9524
2011-04-07,10545
2011-04-08,13219
2011-04-10,5632
2011-04-11,13640
2011-04-12,15341
2011-04-13,18769
2011-04-14,18878
2011-04-15,12729
2011-04-17,8183
2011-04-18,31494
2011-04-19,14482
2011-04-20,18390
2011-04-21,18394
2011-04-26,16173
2011-04-27,18627
2011-04-28,13842
2011-05-01,3819
2011-05-03,12606
2011-05-04,17385
2011-05-05,17483
2011-05-06,20424
2011-05-08,10702
2011-05-09,13359
2011-05-10,19802
2011-05-11,18913
2011-05-12,37833
2011-05-13,15247
2011-05-15,4898
2011-05-16,16020
2011-05-17,27143
2011-05-18,19073
2011-05-19,18347
2011-05-20,15504
2011-05-22,12749
2011-05-23,18231
2011-05-24,15991
2011-05-25,14638
2011-05-26,16349
2011-05-27,17022
2011-05-29,4124
2011-05-31,11763
2011-06-01,10990
2011-06-02,14657
2011-06-03,7691
2011-06-05,13501
2011-06-06,9462
2011-06-07,18768
2011-06-08,21284
2011-06-09,32363
2011-06-10,11043
2011-06-12,9491
2011-06-13,11302
2011-06-14,14624
2011-06-15,30720
2011-06-16,20315
2011-06-17,11764
2011-06-19,15081
2011-06-20,16734
2011-06-21,14275
2011-06-22,15840
2011-06-23,14739
2011-06-24,9985
2011-06-26,3786
2011-06-27,9918
2011-06-28,21934
2011-06-29,12111
2011-06-30,21959
2011-07-01,7813
2011-07-03,3117
2011-07-04,15736
2011-07-05,22131
2011-07-06,19323
2011-07-07,19803
2011-07-08,12738
2011-07-10,4255
2011-07-11,15177
2011-07-12,13981
2011-07-13,16300
2011-07-14,20881
2011-07-15,7405
2011-07-17,11044
2011-07-18,15305
2011-07-19,29349
2011-07-20,17737
2011-07-21,20091
2011-07-22,10302
2011-07-24,17670
2011-07-25,16100
2011-07-26,14056
2011-07-27,14142
2011-07-28,30584
2011-07-29,11621
2011-07-31,20878
2011-08-01,11722
2011-08-02,15721
2011-08-03,16623
2011-08-04,41148
2011-08-05,12818
2011-08-07,5186
2011-08-08,13412
2011-08-09,16261
2011-08-10,14423
2011-08-11,40299
2011-08-12,12024
2011-08-14,3180
2011-08-15,10201
2011-08-16,11262
2011-08-17,25715
2011-08-18,34174
2011-08-19,10672
2011-08-21,8169
2011-08-22,15556
2011-08-23,15181
2011-08-24,29522
2011-08-25,13487
2011-08-26,18175
2011-08-28,6774
2011-08-30,10304
2011-08-31,13007
2011-09-01,27858
2011-09-02,18956
2011-09-04,10963
2011-09-05,23653
2011-09-06,15090
2011-09-07,16392
2011-09-08,17468
2011-09-09,17405
2011-09-11,21146
2011-09-12,17663
2011-09-13,36936
2011-09-14,14334
2011-09-15,29324
2011-09-16,16009
2011-09-18,8994
2011-09-19,29394
2011-09-20,43733
2011-09-21,22334
2011-09-22,33225
2011-09-23,21912
2011-09-25,19505
2011-09-26,15353
2011-09-27,21965
2011-09-28,25559
2011-09-29,27682
2011-09-30,22563
2011-10-02,8385
2011-10-03,26003
2011-10-04,25806
2011-10-05,46338
2011-10-06,36847
2011-10-07,31090
2011-10-09,7556
2011-10-10,26212
2011-10-11,28524
2011-10-12,17915
2011-10-13,19108
2011-10-14,18268
2011-10-16,8770
2011-10-17,31410
2011-10-18,29588
2011-10-19,19260
2011-10-20,40919
2011-10-21,24793
2011-10-23,7073
2011-10-24,26527
2011-10-25,27073
2011-10-26,21343
2011-10-27,33910
2011-10-28,24162
2011-10-30,20068
2011-10-31,21797
2011-11-01,16913
2011-11-02,28768
2011-11-03,34618
2011-11-04,35438
2011-11-06,23309
2011-11-07,31395
2011-11-08,26538
2011-11-09,38269
2011-11-10,39239
2011-11-11,29063
2011-11-13,20840
2011-11-14,47631
2011-11-15,30912
2011-11-16,33144
2011-11-17,31993
2011-11-18,24338
2011-11-20,19416
2011-11-21,25814
2011-11-22,36025
2011-11-23,39420
2011-11-24,26629
2011-11-25,31775
2011-11-27,11173
2011-11-28,29466
2011-11-29,30940
2011-11-30,28532
2011-12-01,27051
2011-12-02,28825
2011-12-04,12412
2011-12-05,44664
2011-12-06,30469
2011-12-07,41980
2011-12-08,35672
2011-12-09,93979
